Day,"Campaign name","Ad set name","Ad name","Amount spent (INR)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Ad set delivery","Reporting starts","Reporting ends"
2025-10-28,"TOF | ALL","T2 -  TRLi","DABA – ALL",2918.25,78.89294404,1.07596648,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - TRLi - ST SI","Green Room I ST SI 03",24.81,84.67576792,0.34129693,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - INT JWLi - FEED SI","Green Room I FEED SI 02",257.76,113.2513181,0.65905097,active,2025-10-28,2025-10-28
2025-10-28,"TOF | CUSTOM | AUTO","T2 - INT JWLi","CC – BS /TP | 02",115.86,25.08335137,0.32474562,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - INT JWLi - FEED DABA","Green Room I FEED DABA",43.8,125.86206897,0.86206897,active,2025-10-28,2025-10-28
2025-10-28,"BOF | DPA","VC & ATC_14 Days - IG",DPA,1016.03,130.39399384,7.84137577,active,2025-10-28,2025-10-28
2025-10-28,"BOF | DPA","VC & ATC_14 Days - FB",DPA,788.95,179.71526196,6.62870159,active,2025-10-28,2025-10-28
2025-10-28,"BOF | DPA","VC & ATC_60 Days - IG",DPA,916.67,90.77738166,4.0899188,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - TRLi - KHB 25 - FEED DABA","KHB 25 I FEED DABA",1033.48,312.51285153,2.1167221,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - INT JWLi - KHB 25 - FEED DABA","KHB 25 I FEED DABA",1093,298.30786026,2.01965066,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - INT JWLi - FEED DABA","Green Room I FEED DABA COL",386.02,139.86231884,1.55797101,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | New Arrivals | RL SV","Green Room I RL SV 01",117.47,281.02870813,0.9569378,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - INT JWLi - FEED SI","Green Room I FEED SI 01",262.51,71.68487165,0.40961223,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | New Arrivals | RL SV","Green Room I RL SV 02",443.99,241.16784356,1.41227594,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - INT JWLi - ST SV","Green Room I ST SV 03",59.91,161.48247978,0.26954178,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | New Arrivals","Green Room | CC",574.82,397.79930796,0.62283737,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - INT JWLi - ST SV","Green Room I ST SV 02",484.85,174.65778098,2.19740634,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - TRLi - FEED SV","Green Room I FEED SV 02",566.76,106.59394395,0.95918751,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - TRLi - RL SV","Green Room I RL SV 03",18.84,55.57522124,0.29498525,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - TRLi - RL SV","Green Room I RL SV 05",500.47,70.98865248,0.82269504,active,2025-10-28,2025-10-28
2025-10-28,"TOF | ALL","IND - TRLi","DABA – ALL",2146.18,39.18102819,0.93836717,active,2025-10-28,2025-10-28
2025-10-28,"TOF | CUSTOM | AUTO","T1 - INT JWLi","CC – BS /TP | 02",135.13,33.43146957,0.24740228,active,2025-10-28,2025-10-28
2025-10-28,"BOF | DPA","VC & ATC_1 Day - IG",DPA,810.6,555.20547945,8.63013699,active,2025-10-28,2025-10-28
2025-10-28,"BOF | DPA","VC & ATC_180 Days - IGi",DPA,565.17,98.01768991,2.18522373,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | BLRi","Juliet Ring | SV",0.04,40,,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | DABA | IGi","MOF | DABA 2",470.66,489.25155925,4.88565489,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | DABA | IGi","MOF | DABA 1",909.85,476.61079099,5.86694605,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | DABA | ENGDi","MOF | DABA 2",440.45,106.82755275,4.14746544,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | DABA | ENGDi","MOF | DABA 1",835.41,129.48078115,3.44079355,active,2025-10-28,2025-10-28
2025-10-28,"BOF | DPA","VC & ATC_180 Days - FBi",DPA,1015.37,126.07027564,4.99130867,active,2025-10-28,2025-10-28
2025-10-28,"BOF | DPA","VC & ATC_60 Days - IGi",DPA,815.51,136.78463603,2.95202952,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | MUMi","Juliet Ring | SV",0.08,80,,active,2025-10-28,2025-10-28
2025-10-28,"BOF | DPA","VC & ATC_14 Days - IGi",DPA,785.26,209.12383489,4.50066578,active,2025-10-28,2025-10-28
2025-10-28,"BOF | DPA","VC & ATC_1 Day - IGi",DPA,422.55,1001.30331754,7.10900474,active,2025-10-28,2025-10-28
2025-10-28,"TOF | All That Grace","ARL | IGi","Mix Match Pearls I SI",115.09,272.72511848,1.18483412,active,2025-10-28,2025-10-28
2025-10-28,"TOF | 80k","LUXE | IGi","80k CC",561.55,256.64990859,1.14259598,active,2025-10-28,2025-10-28
2025-10-28,"TOF | All That Grace","ARL | IGi","Debbie Earrings | SV",500.51,301.14921781,1.44404332,active,2025-10-28,2025-10-28
2025-10-28,"TOF | All That Grace","ARL | IGi","Jackie Necklace | SV",276.49,278.71975806,1.71370968,active,2025-10-28,2025-10-28
2025-10-28,"TOF | All That Grace","ARL | IGi","All that grace (1) | CI",176.87,146.78008299,2.406639,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | HYDi","Juliet Ring | SV",1.12,280,,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | DELi","Juliet Ring | SV",0.02,10,50,active,2025-10-28,2025-10-28
2025-10-28,"TOF | CUSTOM | AUTO","T2 - INT JWLi","CC – BS /TP | 01",1525.65,44.78380838,0.75733114,active,2025-10-28,2025-10-28
2025-10-28,"TOF | India Modern","TOF | Bangalore | TIFFi","DABA – BS /TP 2",485.3,62.50643998,1.15919629,active,2025-10-28,2025-10-28
2025-10-28,"TOF | CUSTOM | AUTO","T1 - INT JWLi","CC – BS /TP | 01",1972.09,62.85746159,0.79046344,active,2025-10-28,2025-10-28
2025-10-28,"TOF | AND","TOF | Bangalore | TRLa","DABA – ALL",974.02,18.3244911,0.51736464,active,2025-10-28,2025-10-28
2025-10-28,"TOF | AND","TOF | Mumbai | TRLa","DABA – ALL",1247.23,15.00860399,0.76533375,active,2025-10-28,2025-10-28
2025-10-28,"TOF | AND","TOF | Delhi | TRLa","DABA – ALL",897.74,38.99656835,1.16415447,active,2025-10-28,2025-10-28
2025-10-28,"TOF | India Modern","TOF | Delhi | TIFFi","DABA – BS /TP 1",630.98,46.93743956,1.34642565,active,2025-10-28,2025-10-28
2025-10-28,"TOF | India Modern","TOF | Delhi | TIFFi","DABA – BS /TP 2",133.67,85.46675192,2.23785166,active,2025-10-28,2025-10-28
2025-10-28,"TOF | India Modern","TOF | Mumbai | TIFFi","DABA – BS /TP 1",660.06,35.97449313,1.22629169,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | HYDi","RV | CC",252.6,579.35779817,1.37614679,active,2025-10-28,2025-10-28
2025-10-28,"TOF | India Modern","TOF | Mumbai | TIFFi","DABA – BS /TP 2",114.7,69.55730746,2.06185567,active,2025-10-28,2025-10-28
2025-10-28,"TOF | Story/Reel","TRL | IGi | ST","Sapphires I SI",504.52,189.66917293,1.76691729,active,2025-10-28,2025-10-28
2025-10-28,"TOF | Story/Reel","TRL | IGi | ST","Raphsody I SI",725.08,213.51001178,0.94228504,active,2025-10-28,2025-10-28
2025-10-28,"TOF | Story/Reel","TRL | IGi | ST","Ella Rings I SI",297.16,190.48717949,2.11538462,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | BLRi","RV | CC",491.29,484.9851925,0.78973346,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | MUMi","RV | CC",530.28,497.44840525,1.68855535,active,2025-10-28,2025-10-28
2025-10-28,MOF,"MOF | DELi","RV | CC",598.8,702.81690141,0.93896714,active,2025-10-28,2025-10-28
2025-10-28,"BOF | DPA","VC & ATC_60 Days - FB",DPA,366,72.90836653,3.76494024,active,2025-10-28,2025-10-28
