Campaign name,Ad set name,Ad name,Day,Amount spent (INR),"CPM (cost per 1,000 impressions)",CTR (link click-through rate),Ad set delivery,Reporting starts,Reporting ends
TOF | CUSTOM | AUTO,TIFF - IG,FAYE STYLISED | SI,2024-12-31,72.07,129.38958707,0.89766607,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,MAG | IG | ST,Fragile Frescoes 2 I ST,2024-12-31,0.61,26.52173913,,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,ARKA | SI,2024-12-31,49.94,141.47308782,0.28328612,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,LUXE | IGi | RL,Fragile Frescoes 2 I RL,2024-12-31,19.36,13.35172414,0.48275862,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,LUXE | IGi | RL,Aviva | RL,2024-12-31,80.72,53.35095836,0.52875083,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,LUXE | IGi | RL,Anah Necklace | RL,2024-12-31,520.4,149.06903466,0.48696649,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,QUTUB | SI,2024-12-31,34.39,18.0904787,1.10468175,inactive,2024-12-31,2024-12-31
MOF,MOF | MUM,Juliet Ring | SV,2024-12-31,2.98,186.25,,inactive,2024-12-31,2024-12-31
TOF | ALL,HOME - IG,DABA,2024-12-31,766.81,59.30930466,4.67166834,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,Anah Necklace | SV,2024-12-31,23.64,21.16383169,0.35810206,inactive,2024-12-31,2024-12-31
MOF,MOF | HYD,RV | CC,2024-12-31,182.63,350.53742802,0.57581574,inactive,2024-12-31,2024-12-31
TOF | All That Grace,ARL | IGi,All that grace | SV,2024-12-31,12.91,54.24369748,0.84033613,active,2024-12-31,2024-12-31
BOF | DPA,VC & ATC_1 Day - FB,DPA,2024-12-31,567.08,223.4357762,6.1465721,active,2024-12-31,2024-12-31
TOF | All That Grace,ARL | IGi,All that grace (1) | SI,2024-12-31,19.1,120.12578616,3.14465409,active,2024-12-31,2024-12-31
TOF | India Modern,JWLY + TRL - FB,DABA – BS /TP 1,2024-12-31,199.71,116.04299826,6.27542127,inactive,2024-12-31,2024-12-31
TOF | All That Grace,ARL | IGi,All that grace | DABA,2024-12-31,208.86,95.85130794,4.54336852,active,2024-12-31,2024-12-31
MOF,MOF | HYD,Juliet Ring | SV,2024-12-31,257.72,111.0862069,2.32758621,inactive,2024-12-31,2024-12-31
TOF | India Modern,HOME - IG,DABA – BS /TP 1,2024-12-31,249.91,62.85462777,2.7665996,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,CC,2024-12-30,5.57,92.83333333,,inactive,2024-12-30,2024-12-30
TOF | All That Grace,ARL | IGi,Debbie Earrings | SV,2024-12-30,81.98,72.93594306,0.53380783,active,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,TIFF - IG,FAYE STYLISED | SI,2024-12-30,46.02,56.2591687,0.48899756,inactive,2024-12-30,2024-12-30
TOF | Story/Reel,MAG | IG | ST,Fragile Frescoes 1 I ST,2024-12-30,277.62,266.94230769,1.63461538,inactive,2024-12-30,2024-12-30
BOF | DPA,VC & ATC_60 Days - FB,DPA,2024-12-30,572.65,50.9747196,2.93751113,active,2024-12-30,2024-12-30
TOF | KHB |,LUXE | IGi,Aviva | SV,2024-12-30,184.91,160.37294016,0.69384215,inactive,2024-12-30,2024-12-30
MOF,MOF | KHB,Cutch Tassel | SI,2024-12-30,94.53,133.51694915,0.84745763,inactive,2024-12-30,2024-12-30
TOF | All That Grace,ARL | IGi,All that grace | DABA,2024-12-30,444.2,130.22574025,2.93169159,active,2024-12-30,2024-12-30
TOF | Story/Reel,LUXE | IGi | RL,Fragile Frescoes 1 I RL,2024-12-30,246.52,104.10472973,0.4222973,inactive,2024-12-30,2024-12-30
MOF,MOF | DABA,MOF | DABA 2,2024-12-30,1297.01,214.34638903,6.13121798,inactive,2024-12-30,2024-12-30
BOF | DPA,VC & ATC_14 Days - IG,DPA,2024-12-30,1604.33,87.10190564,5.7277811,active,2024-12-30,2024-12-30
MOF,MOF | KHB,Sikar Necklace Model | SI,2024-12-30,234.97,91.25048544,1.59223301,inactive,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,TIFF - IG,ARKA STYLISED | SI,2024-12-30,111.19,258.58139535,0.46511628,inactive,2024-12-30,2024-12-30
BOF | DPA,VC & ATC_14 Days - FB,DPA,2024-12-30,873.22,96.11667584,6.08695652,active,2024-12-30,2024-12-30
TOF | KHB |,OCC | IG,KHB | DABA (1),2024-12-30,1084.03,143.5231034,3.89249305,inactive,2024-12-30,2024-12-30
TOF | ALL,OCC - IG,DABA,2024-12-30,325.43,53.10541775,1.82767624,inactive,2024-12-30,2024-12-30
TOF | India Modern,C-OCC - IG,India Modern DABA,2024-12-30,525.98,100.97523517,4.66500288,inactive,2024-12-30,2024-12-30
TOF | Earrings,OCC,Felix Earrings | CV,2024-12-30,25.62,52.9338843,3.30578512,inactive,2024-12-30,2024-12-30
TOF | All That Grace,ARL | IGi,Jackie Necklace | SV,2024-12-30,0.5,33.33333333,,active,2024-12-30,2024-12-30
TOF | All That Grace,BRD | IG,Jackie Necklace | SV,2024-12-30,135.99,82.51820388,1.15291262,inactive,2024-12-30,2024-12-30
TOF | India Modern,INT JWLY - IGi,India Modern DABA,2024-12-30,301.89,229.57414449,6.46387833,inactive,2024-12-30,2024-12-30
TOF | India Modern,INT JWLY - IGi,DABA – BS /TP 1,2024-12-30,231.58,214.82374768,3.24675325,inactive,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,TIFF - IG,QUTUB | SI,2024-12-30,66.78,41.78973717,1.18898623,inactive,2024-12-30,2024-12-30
MOF,MOF | MUM,RV | CC,2024-12-30,256.64,646.44836272,1.76322418,inactive,2024-12-30,2024-12-30
TOF | India Modern,INT JWLY - IG,DABA – BS /TP 1,2024-12-30,287.02,77.9733768,2.9068188,inactive,2024-12-30,2024-12-30
TOF | Earrings,TRL,Ira Earrings | CV,2024-12-30,1.81,17.74509804,1.96078431,inactive,2024-12-30,2024-12-30
TOF | Story/Reel,LUXE | IGi | RL,Anah Necklace | RL,2024-12-30,737.07,166.98459447,0.67965564,inactive,2024-12-30,2024-12-30
TOF | Earrings,TRL,Earrings | DABA,2024-12-30,532.44,49.35483871,3.74490174,inactive,2024-12-30,2024-12-30
TOF | Story/Reel,LUXE | IGi | RL,Aviva | RL,2024-12-30,74.0,62.81833616,0.67911715,inactive,2024-12-30,2024-12-30
TOF | Story/Reel,MAG | IG | ST,Fragile Frescoes 2 I ST,2024-12-30,11.46,59.07216495,2.06185567,inactive,2024-12-30,2024-12-30
TOF | All That Grace,BRD | IG,Debbie Earrings | SV,2024-12-30,174.76,142.66122449,1.06122449,inactive,2024-12-30,2024-12-30
TOF | India Modern,HOME - IG,India Modern DABA,2024-12-30,522.94,85.12778773,2.99527918,inactive,2024-12-30,2024-12-30
TOF | Story/Reel,LUXE | IGi | RL,Fragile Frescoes 2 I RL,2024-12-30,39.65,32.2095857,,inactive,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,TIFF - IG,ARKA | SI,2024-12-30,93.88,389.54356846,1.65975104,inactive,2024-12-30,2024-12-30
TOF | All That Grace,ARL | IGi,All that grace (1) | CI,2024-12-30,73.48,91.85,1.75,active,2024-12-30,2024-12-30
TOF | ALL,MAG - IG,DABA – BS /TP 2,2024-12-30,580.75,24.01977004,1.55513277,inactive,2024-12-30,2024-12-30
MOF,MOF | DABA,MOF | DABA 1,2024-12-30,917.0,179.87446057,6.12004708,inactive,2024-12-30,2024-12-30
BOF | DPA,VC & ATC_60 Days - IG,DPA,2024-12-30,526.11,41.97462901,3.71788735,active,2024-12-30,2024-12-30
TOF | India Modern,JWLY + TRL - FB,DABA – BS /TP 1,2024-12-30,307.57,130.88085106,6.63829787,inactive,2024-12-30,2024-12-30
TOF | KHB |,INT JWLY | IG,Sikar Necklace | SI,2024-12-30,75.98,72.2243346,0.95057034,inactive,2024-12-30,2024-12-30
TOF | KHB |,INT JWLY | IG,Zeya Necklace | SI,2024-12-30,103.75,96.60148976,0.27932961,inactive,2024-12-30,2024-12-30
TOF | India Modern,HOME - IG,DABA – BS /TP 1,2024-12-30,534.14,57.57680285,2.47924976,inactive,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,TIFF - IG,MARRAKESH | SI,2024-12-30,192.19,121.10270951,0.88216761,inactive,2024-12-30,2024-12-30
TOF | Story/Reel,LUXE | IGi | RL,Emir Photo Locket I RL | IG Post - 30 Oct 2024,2024-12-30,25.36,12.87309645,0.10152284,inactive,2024-12-30,2024-12-30
TOF | ALL,HOME - IG,DABA,2024-12-30,836.63,63.56404802,4.17869625,inactive,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,TIFF - IG,Qutab Necklace | SV,2024-12-30,54.64,23.37040205,0.427716,inactive,2024-12-30,2024-12-30
TOF | KHB |,INT JWLY | IG,Qutub Necklace | SI,2024-12-30,197.02,103.47689076,1.78571429,inactive,2024-12-30,2024-12-30
TOF | All That Grace,BRD | IG,All that grace (4) | SI,2024-12-30,95.92,86.80542986,0.36199095,inactive,2024-12-30,2024-12-30
TOF | India Modern,C-OCC - IG,DABA – BS /TP 1,2024-12-30,565.7,65.35351201,3.29251386,inactive,2024-12-30,2024-12-30
TOF | KHB |,INT JWLY | IGi,KHB | DABA (1),2024-12-30,1110.97,159.71391604,8.72627947,inactive,2024-12-30,2024-12-30
TOF | All That Grace,BRD | IG,All that grace (1) | SI,2024-12-30,77.34,290.7518797,3.7593985,inactive,2024-12-30,2024-12-30
TOF | KHB |,INT JWLY | IG,Mansa Necklace | SI,2024-12-30,469.7,125.18656716,2.50533049,inactive,2024-12-30,2024-12-30
BOF | DPA,VC & ATC_1 Day - IG,DPA,2024-12-30,1307.21,232.80676759,9.52804987,active,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,TIFF - IG,Arka Necklace | SV,2024-12-30,12.93,39.42073171,,inactive,2024-12-30,2024-12-30
TOF | All That Grace,ARL | IGi,All that grace | SV,2024-12-30,0.59,118.0,20.0,active,2024-12-30,2024-12-30
TOF | KHB |,INT JWLY | IGi,KHB | DABA,2024-12-30,19.17,563.82352941,2.94117647,inactive,2024-12-30,2024-12-30
TOF | KHB |,LUXE | IGi,Aviva Stylised | SV,2024-12-30,551.94,216.02348337,0.70450098,inactive,2024-12-30,2024-12-30
TOF | India Modern,JWLY + TRL - FBi,DABA – BS /TP 1,2024-12-30,298.67,227.64481707,7.62195122,inactive,2024-12-30,2024-12-30
TOF | KHB |,LUXE | IGi,Qutub Necklace | SV,2024-12-30,302.68,175.87449157,1.45264381,inactive,2024-12-30,2024-12-30
TOF | ALL,HOME - IG,DABA – BS /TP,2024-12-30,297.87,44.24030893,2.24268528,inactive,2024-12-30,2024-12-30
TOF | KHB |,INT JWLY | IG,Tanjore Bracelet | SI,2024-12-30,263.81,221.68907563,0.75630252,inactive,2024-12-30,2024-12-30
TOF | Story/Reel,MAG | IG | ST,Emir Photo Locket I ST | IG Post - 30 Oct 2024,2024-12-30,164.85,46.9524352,2.19310738,inactive,2024-12-30,2024-12-30
TOF | ALL,MAG - IG,DABA,2024-12-30,582.86,35.39993927,2.30185241,inactive,2024-12-30,2024-12-30
TOF | ALL,OCC - IG,DABA – BS /TP 2,2024-12-30,272.92,29.3399269,1.2685444,inactive,2024-12-30,2024-12-30
TOF | India Modern,INT JWLY - IG,India Modern DABA,2024-12-30,781.33,72.27176024,3.38544075,inactive,2024-12-30,2024-12-30
TOF | Story/Reel,MAG | IG | ST,Amey Ring | ST,2024-12-30,5.7,58.16326531,,inactive,2024-12-30,2024-12-30
TOF | ALL,INT JWLY - IG,DABA – BS /TP,2024-12-30,560.3,41.15011751,2.91568743,inactive,2024-12-30,2024-12-30
TOF | ALL,TIFF - IG,DABA,2024-12-30,1106.12,41.03123377,3.31997923,inactive,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,C-OCC,CC,2024-12-30,1040.69,196.95117335,2.02498107,inactive,2024-12-30,2024-12-30
TOF | KHB |,OCC | IG,KHB | DABA,2024-12-30,19.6,268.49315068,1.36986301,inactive,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,TIFF - IG,DEW DROP | SI,2024-12-30,148.82,55.15937732,1.14899926,inactive,2024-12-30,2024-12-30
TOF | Story/Reel,MAG | IG | ST,Anah Necklace | ST,2024-12-30,441.78,374.07281964,1.18543607,inactive,2024-12-30,2024-12-30
TOF | Earrings,OCC,Ira Earrings | CV,2024-12-30,68.54,47.17136958,3.99174123,inactive,2024-12-30,2024-12-30
TOF | Story/Reel,MAG | IG | ST,Aviva | ST,2024-12-30,81.36,109.79757085,1.6194332,inactive,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,TIFF - IG,Anah Necklace | SV,2024-12-30,42.15,43.67875648,0.62176166,inactive,2024-12-30,2024-12-30
TOF | Earrings,OCC,Earrings | DABA,2024-12-30,460.37,60.6308442,3.79296721,inactive,2024-12-30,2024-12-30
MOF,MOF | KHB,ida and ineya | SV,2024-12-30,79.98,86.46486486,0.43243243,inactive,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,TIFF - IG,IRA | SI,2024-12-30,458.63,32.73356648,2.31960602,inactive,2024-12-30,2024-12-30
BOF | DPA,VC & ATC_1 Day - FB,DPA,2024-12-30,617.47,206.23580494,6.17902472,active,2024-12-30,2024-12-30
TOF | CUSTOM | AUTO,TIFF - IG,Amey Ring | SV,2024-12-30,8.59,27.26984127,0.95238095,inactive,2024-12-30,2024-12-30
MOF,MOF | KHB,Zeya Necklace | SV,2024-12-30,166.89,128.08135073,1.22793553,inactive,2024-12-30,2024-12-30
TOF | ALL,INT JWLY - IG,DABA,2024-12-30,560.07,59.87491982,4.04105196,inactive,2024-12-30,2024-12-30
